Date,StationCode,State,District,Rainfall (mm),Groundwater Level (m),Temperature (°C),River Water Level (m),Scarcity
2024-01-27,ASS_BAR,Assam,Barpeta,10.2,20.0,27.9,10.89,0
2024-01-28,ASS_BAR,Assam,Barpeta,5.1,20.0,39.0,1.77,1
2024-01-29,ASS_BAR,Assam,Barpeta,14.1,20.0,44.6,14.31,0
2024-01-30,ASS_BAR,Assam,Barpeta,19.5,20.0,28.2,13.24,0
2024-01-31,ASS_BAR,Assam,Barpeta,3.7,20.0,25.2,1.09,1
2024-02-01,ASS_BAR,Assam,Barpeta,13.4,20.0,20.8,1.1,0
2024-02-02,ASS_BAR,Assam,Barpeta,0.0,20.0,21.9,13.42,0
2024-02-03,ASS_BAR,Assam,Barpeta,5.2,20.0,40.2,2.85,1
2024-02-04,ASS_BAR,Assam,Barpeta,0.0,20.0,40.8,8.6,0
2024-02-05,ASS_BAR,Assam,Barpeta,12.6,20.0,28.7,7.68,0
2024-02-06,ASS_BAR,Assam,Barpeta,10.5,20.0,45.0,13.74,0
2024-02-07,ASS_BAR,Assam,Barpeta,6.2,20.0,16.0,13.24,0
2024-02-08,ASS_BAR,Assam,Barpeta,17.1,20.0,34.2,10.88,0
2024-02-09,ASS_BAR,Assam,Barpeta,0.0,20.0,41.5,6.88,0
2024-02-10,ASS_BAR,Assam,Barpeta,8.4,20.0,16.1,12.92,0
2024-02-11,ASS_BAR,Assam,Barpeta,11.3,20.0,24.0,14.48,0
2024-02-12,ASS_BAR,Assam,Barpeta,1.0,20.0,35.2,1.45,1
2024-02-13,ASS_BAR,Assam,Barpeta,0.0,20.0,34.2,10.99,0
2024-02-14,ASS_BAR,Assam,Barpeta,0.0,20.0,18.0,6.7,0
2024-02-15,ASS_BAR,Assam,Barpeta,0.0,20.0,35.4,4.63,1
2024-02-16,ASS_BAR,Assam,Barpeta,0.0,20.0,35.7,1.96,1
2024-02-17,ASS_BAR,Assam,Barpeta,4.3,20.0,37.3,6.21,0
2024-02-18,ASS_BAR,Assam,Barpeta,12.6,20.0,42.6,14.23,0
2024-02-19,ASS_BAR,Assam,Barpeta,0.0,20.0,29.8,1.56,1
2024-02-20,ASS_BAR,Assam,Barpeta,17.1,20.0,16.6,4.21,0
2024-02-21,ASS_BAR,Assam,Barpeta,1.9,20.0,27.7,2.77,1
2024-02-22,ASS_BAR,Assam,Barpeta,10.2,20.0,17.1,4.98,0
2024-02-23,ASS_BAR,Assam,Barpeta,1.4,20.0,39.8,6.4,0
2024-02-24,ASS_BAR,Assam,Barpeta,5.6,20.0,35.3,10.1,0
2024-02-25,ASS_BAR,Assam,Barpeta,10.2,20.0,34.7,1.95,0
2024-02-26,ASS_BAR,Assam,Barpeta,16.0,20.0,14.3,8.56,0
2024-02-27,ASS_BAR,Assam,Barpeta,15.1,20.0,18.6,11.65,0
2024-02-28,ASS_BAR,Assam,Barpeta,8.3,20.0,44.8,13.6,0
2024-02-29,ASS_BAR,Assam,Barpeta,17.0,20.0,27.1,9.75,0
2024-03-01,ASS_BAR,Assam,Barpeta,0.0,20.0,20.9,11.57,0
2024-03-02,ASS_BAR,Assam,Barpeta,0.0,20.0,24.6,4.94,1
2024-03-03,ASS_BAR,Assam,Barpeta,8.7,20.0,43.7,11.68,0
2024-03-04,ASS_BAR,Assam,Barpeta,14.5,20.0,38.6,14.99,0
2024-03-05,ASS_BAR,Assam,Barpeta,14.1,20.0,27.3,5.69,0
2024-03-06,ASS_BAR,Assam,Barpeta,47.1,20.0,15.4,14.98,0
2024-03-07,ASS_BAR,Assam,Barpeta,49.4,20.0,29.1,5.64,0
2024-03-08,ASS_BAR,Assam,Barpeta,36.2,20.0,21.8,11.35,0
2024-03-09,ASS_BAR,Assam,Barpeta,45.3,20.0,21.7,3.55,0
2024-03-10,ASS_BAR,Assam,Barpeta,0.1,20.0,29.0,8.73,0
2024-03-11,ASS_BAR,Assam,Barpeta,19.3,20.0,22.6,8.87,0
2024-03-12,ASS_BAR,Assam,Barpeta,0.0,20.0,17.4,6.57,0
2024-03-13,ASS_BAR,Assam,Barpeta,30.3,20.0,14.0,14.28,0
2024-03-14,ASS_BAR,Assam,Barpeta,48.1,20.0,24.4,9.31,0
2024-03-15,ASS_BAR,Assam,Barpeta,17.0,20.0,18.5,8.13,0
2024-03-16,ASS_BAR,Assam,Barpeta,0.0,20.0,10.0,12.76,0
2024-03-17,ASS_BAR,Assam,Barpeta,15.3,20.0,16.6,12.9,0
2024-03-18,ASS_BAR,Assam,Barpeta,25.5,20.0,18.4,3.61,0
2024-03-19,ASS_BAR,Assam,Barpeta,0.6,20.0,34.8,9.84,0
2024-03-20,ASS_BAR,Assam,Barpeta,0.0,20.0,17.2,10.26,0
2024-03-21,ASS_BAR,Assam,Barpeta,17.1,20.0,42.5,13.69,0
2024-03-22,ASS_BAR,Assam,Barpeta,48.3,20.0,24.0,6.19,0
2024-03-23,ASS_BAR,Assam,Barpeta,13.1,20.0,35.7,14.73,0
2024-03-24,ASS_BAR,Assam,Barpeta,0.0,20.0,13.3,11.69,0
2024-03-25,ASS_BAR,Assam,Barpeta,0.0,20.0,27.8,13.32,0
2024-03-26,ASS_BAR,Assam,Barpeta,38.4,20.0,28.0,11.15,0
2024-03-27,ASS_BAR,Assam,Barpeta,3.0,20.0,29.5,13.6,0
2024-03-28,ASS_BAR,Assam,Barpeta,0.0,20.0,37.3,8.98,0
2024-03-29,ASS_BAR,Assam,Barpeta,15.0,20.0,44.4,10.8,0
2024-03-30,ASS_BAR,Assam,Barpeta,46.2,20.0,35.5,9.31,0
2024-03-31,ASS_BAR,Assam,Barpeta,7.1,20.0,17.0,6.38,0
2024-04-01,ASS_BAR,Assam,Barpeta,0.0,20.0,36.1,6.8,0
2024-04-02,ASS_BAR,Assam,Barpeta,0.0,20.0,30.7,14.37,0
2024-04-03,ASS_BAR,Assam,Barpeta,28.2,20.0,29.9,4.62,0
2024-04-04,ASS_BAR,Assam,Barpeta,38.5,20.0,25.0,2.36,0
2024-04-05,ASS_BAR,Assam,Barpeta,1.2,20.0,43.1,4.23,1
2024-04-06,ASS_BAR,Assam,Barpeta,0.0,20.0,15.2,6.89,0
2024-04-07,ASS_BAR,Assam,Barpeta,0.0,20.0,34.4,6.22,0
2024-04-08,ASS_BAR,Assam,Barpeta,0.0,20.0,32.7,14.59,0
2024-04-09,ASS_BAR,Assam,Barpeta,29.1,20.0,40.9,11.41,0
2024-04-10,ASS_BAR,Assam,Barpeta,44.9,20.0,42.4,8.31,0
2024-04-11,ASS_BAR,Assam,Barpeta,3.4,20.0,11.3,11.13,0
2024-04-12,ASS_BAR,Assam,Barpeta,0.0,20.0,40.3,7.06,0
2024-04-13,ASS_BAR,Assam,Barpeta,0.0,20.0,26.7,6.86,0
2024-04-14,ASS_BAR,Assam,Barpeta,36.3,20.0,33.7,13.91,0
2024-04-15,ASS_BAR,Assam,Barpeta,46.2,20.0,22.7,11.46,0
2024-04-16,ASS_BAR,Assam,Barpeta,0.0,20.0,13.6,13.7,0
2024-04-17,ASS_BAR,Assam,Barpeta,2.5,20.0,36.6,3.47,1
2024-04-18,ASS_BAR,Assam,Barpeta,0.0,20.0,11.7,3.34,1
2024-04-19,ASS_BAR,Assam,Barpeta,26.2,20.0,13.1,6.25,0
2024-04-20,ASS_BAR,Assam,Barpeta,8.0,20.0,24.1,14.16,0
2024-04-21,ASS_BAR,Assam,Barpeta,27.9,20.0,26.7,3.05,0
2024-04-22,ASS_BAR,Assam,Barpeta,31.9,20.0,20.6,3.52,0
2024-04-23,ASS_BAR,Assam,Barpeta,0.0,20.0,26.1,3.23,1
2024-04-24,ASS_BAR,Assam,Barpeta,0.0,20.0,33.4,6.08,0
2024-04-25,ASS_BAR,Assam,Barpeta,6.0,20.0,11.9,10.75,0
2024-04-26,ASS_BAR,Assam,Barpeta,25.9,20.0,33.7,9.92,0
2024-04-27,ASS_BAR,Assam,Barpeta,20.8,20.0,33.6,4.92,0
2024-04-28,ASS_BAR,Assam,Barpeta,22.6,20.0,15.0,8.63,0
2024-04-29,ASS_BAR,Assam,Barpeta,47.8,20.0,32.5,7.24,0
2024-04-30,ASS_BAR,Assam,Barpeta,0.0,20.0,35.6,10.59,0
2024-05-01,ASS_BAR,Assam,Barpeta,20.0,20.0,12.7,11.76,0
2024-05-02,ASS_BAR,Assam,Barpeta,0.0,20.0,17.1,10.58,0
2024-05-03,ASS_BAR,Assam,Barpeta,37.8,20.0,19.9,12.58,0
2024-05-04,ASS_BAR,Assam,Barpeta,9.6,20.0,22.4,12.44,0
2024-05-05,ASS_BAR,Assam,Barpeta,19.1,20.0,36.7,6.77,0
2024-05-06,ASS_BAR,Assam,Barpeta,5.6,20.0,10.9,6.64,0
2024-05-07,ASS_BAR,Assam,Barpeta,0.0,20.0,41.6,5.07,0
2024-05-08,ASS_BAR,Assam,Barpeta,33.9,20.0,30.6,13.78,0
2024-05-09,ASS_BAR,Assam,Barpeta,0.0,20.0,40.0,7.5,0
2024-05-10,ASS_BAR,Assam,Barpeta,12.2,20.0,24.2,6.7,0
2024-05-11,ASS_BAR,Assam,Barpeta,0.0,20.0,39.7,8.28,0
2024-05-12,ASS_BAR,Assam,Barpeta,35.7,20.0,35.1,5.81,0
2024-05-13,ASS_BAR,Assam,Barpeta,38.5,20.0,17.5,6.05,0
2024-05-14,ASS_BAR,Assam,Barpeta,32.9,20.0,22.2,9.15,0
2024-05-15,ASS_BAR,Assam,Barpeta,0.0,20.0,34.1,3.05,1
2024-05-16,ASS_BAR,Assam,Barpeta,39.8,20.0,12.5,13.03,0
2024-05-17,ASS_BAR,Assam,Barpeta,23.4,20.0,44.2,4.39,0
2024-05-18,ASS_BAR,Assam,Barpeta,0.0,20.0,32.3,1.6,1
2024-05-19,ASS_BAR,Assam,Barpeta,0.0,20.0,15.1,1.13,1
2024-05-20,ASS_BAR,Assam,Barpeta,19.8,20.0,32.9,1.83,0
2024-05-21,ASS_BAR,Assam,Barpeta,24.6,20.0,37.2,7.51,0
2024-05-22,ASS_BAR,Assam,Barpeta,47.2,20.0,24.0,6.89,0
2024-05-23,ASS_BAR,Assam,Barpeta,0.0,20.0,27.2,1.69,1
2024-05-24,ASS_BAR,Assam,Barpeta,8.5,20.0,20.7,8.92,0
2024-05-25,ASS_BAR,Assam,Barpeta,14.5,20.0,39.9,5.57,0
2024-05-26,ASS_BAR,Assam,Barpeta,41.8,20.0,26.0,6.25,0
2024-05-27,ASS_BAR,Assam,Barpeta,45.9,20.0,24.2,1.2,0
2024-05-28,ASS_BAR,Assam,Barpeta,0.0,20.0,29.1,11.38,0
2024-05-29,ASS_BAR,Assam,Barpeta,41.1,20.0,37.4,7.52,0
2024-05-30,ASS_BAR,Assam,Barpeta,26.8,20.0,36.4,6.96,0
2024-05-31,ASS_BAR,Assam,Barpeta,8.0,20.0,41.1,6.27,0
2024-06-01,ASS_BAR,Assam,Barpeta,64.7,19.27,43.7,4.83,0
2024-06-02,ASS_BAR,Assam,Barpeta,195.6,18.18,44.2,7.73,0
2024-06-03,ASS_BAR,Assam,Barpeta,129.1,17.67,14.8,12.28,0
2024-06-04,ASS_BAR,Assam,Barpeta,74.2,16.63,26.0,4.68,0
2024-06-05,ASS_BAR,Assam,Barpeta,192.7,15.42,13.4,9.0,0
2024-06-06,ASS_BAR,Assam,Barpeta,0.0,16.01,42.0,11.97,0
2024-06-07,ASS_BAR,Assam,Barpeta,0.0,16.55,28.5,2.31,1
2024-06-08,ASS_BAR,Assam,Barpeta,193.8,16.0,34.2,11.16,0
2024-06-09,ASS_BAR,Assam,Barpeta,128.6,14.85,11.1,7.18,0
2024-06-10,ASS_BAR,Assam,Barpeta,0.0,15.44,38.3,4.28,1
2024-06-11,ASS_BAR,Assam,Barpeta,0.0,15.85,45.0,14.65,0
2024-06-12,ASS_BAR,Assam,Barpeta,123.9,14.73,21.1,8.72,0
2024-06-13,ASS_BAR,Assam,Barpeta,0.0,14.98,38.9,8.33,0
2024-06-14,ASS_BAR,Assam,Barpeta,0.0,15.36,39.6,3.48,1
2024-06-15,ASS_BAR,Assam,Barpeta,106.9,14.38,38.5,11.44,0
2024-06-16,ASS_BAR,Assam,Barpeta,151.6,13.87,30.3,3.49,0
2024-06-17,ASS_BAR,Assam,Barpeta,0.0,14.85,44.2,4.07,0
2024-06-18,ASS_BAR,Assam,Barpeta,0.0,15.46,36.2,1.45,1
2024-06-19,ASS_BAR,Assam,Barpeta,0.0,15.92,38.6,5.99,0
2024-06-20,ASS_BAR,Assam,Barpeta,61.1,15.41,31.5,5.72,0
2024-06-21,ASS_BAR,Assam,Barpeta,164.0,14.27,41.9,6.76,0
2024-06-22,ASS_BAR,Assam,Barpeta,115.8,13.35,30.9,1.12,0
2024-06-23,ASS_BAR,Assam,Barpeta,68.7,11.94,32.2,1.62,0
2024-06-24,ASS_BAR,Assam,Barpeta,194.2,11.15,37.3,11.69,0
2024-06-25,ASS_BAR,Assam,Barpeta,165.8,9.69,38.4,8.22,0
2024-06-26,ASS_BAR,Assam,Barpeta,60.6,8.54,23.5,2.01,0
2024-06-27,ASS_BAR,Assam,Barpeta,71.4,7.82,41.6,5.99,0
2024-06-28,ASS_BAR,Assam,Barpeta,146.4,7.25,40.1,10.38,0
2024-06-29,ASS_BAR,Assam,Barpeta,123.2,5.95,11.6,8.0,0
2024-06-30,ASS_BAR,Assam,Barpeta,0.0,6.65,32.0,4.0,0
2024-07-01,ASS_BAR,Assam,Barpeta,141.4,5.9,44.7,1.65,0
2024-07-02,ASS_BAR,Assam,Barpeta,115.4,5.01,38.1,12.84,0
2024-07-03,ASS_BAR,Assam,Barpeta,0.0,5.28,12.5,6.03,0
2024-07-04,ASS_BAR,Assam,Barpeta,187.3,5.0,11.5,7.46,0
2024-07-05,ASS_BAR,Assam,Barpeta,0.0,5.72,11.0,11.86,0
2024-07-06,ASS_BAR,Assam,Barpeta,124.4,5.22,27.0,10.88,0
2024-07-07,ASS_BAR,Assam,Barpeta,144.3,5.0,37.0,12.19,0
2024-07-08,ASS_BAR,Assam,Barpeta,51.0,5.0,29.1,4.43,0
2024-07-09,ASS_BAR,Assam,Barpeta,169.5,5.0,21.8,7.06,0
2024-07-10,ASS_BAR,Assam,Barpeta,103.0,5.0,10.4,7.1,0
2024-07-11,ASS_BAR,Assam,Barpeta,124.9,5.0,41.4,11.81,0
2024-07-12,ASS_BAR,Assam,Barpeta,161.2,5.0,16.0,8.33,0
2024-07-13,ASS_BAR,Assam,Barpeta,185.3,5.0,40.5,1.35,0
2024-07-14,ASS_BAR,Assam,Barpeta,0.0,5.65,42.2,2.88,0
2024-07-15,ASS_BAR,Assam,Barpeta,145.0,5.0,33.6,6.62,0
2024-07-16,ASS_BAR,Assam,Barpeta,85.5,5.0,37.2,9.98,0
2024-07-17,ASS_BAR,Assam,Barpeta,191.9,5.0,16.8,2.29,0
2024-07-18,ASS_BAR,Assam,Barpeta,142.5,5.0,32.3,14.01,0
2024-07-19,ASS_BAR,Assam,Barpeta,0.0,5.67,18.2,4.54,0
2024-07-20,ASS_BAR,Assam,Barpeta,95.3,5.02,12.7,14.3,0
2024-07-21,ASS_BAR,Assam,Barpeta,127.8,5.0,25.2,12.73,0
2024-07-22,ASS_BAR,Assam,Barpeta,132.4,5.0,16.3,11.55,0
2024-07-23,ASS_BAR,Assam,Barpeta,89.6,5.0,13.7,7.75,0
2024-07-24,ASS_BAR,Assam,Barpeta,0.0,5.9,21.3,7.71,0
2024-07-25,ASS_BAR,Assam,Barpeta,146.5,5.23,23.0,11.08,0
2024-07-26,ASS_BAR,Assam,Barpeta,162.4,5.0,21.5,12.61,0
2024-07-27,ASS_BAR,Assam,Barpeta,189.4,5.0,26.7,13.64,0
2024-07-28,ASS_BAR,Assam,Barpeta,98.5,5.0,13.4,7.2,0
2024-07-29,ASS_BAR,Assam,Barpeta,189.0,5.0,26.6,12.85,0
2024-07-30,ASS_BAR,Assam,Barpeta,194.8,5.0,27.1,4.85,0
2024-07-31,ASS_BAR,Assam,Barpeta,170.5,5.0,43.8,11.7,0
2024-08-01,ASS_BAR,Assam,Barpeta,165.4,5.0,16.4,3.11,0
2024-08-02,ASS_BAR,Assam,Barpeta,193.8,5.0,24.1,11.46,0
2024-08-03,ASS_BAR,Assam,Barpeta,0.0,5.75,37.0,6.64,0
2024-08-04,ASS_BAR,Assam,Barpeta,135.2,5.03,30.0,11.69,0
2024-08-05,ASS_BAR,Assam,Barpeta,0.0,5.79,38.4,8.42,0
2024-08-06,ASS_BAR,Assam,Barpeta,0.0,6.08,32.2,13.22,0
2024-08-07,ASS_BAR,Assam,Barpeta,63.8,5.43,23.7,5.62,0
2024-08-08,ASS_BAR,Assam,Barpeta,76.3,5.0,42.8,1.75,0
2024-08-09,ASS_BAR,Assam,Barpeta,0.0,5.95,28.4,6.0,0
2024-08-10,ASS_BAR,Assam,Barpeta,75.5,5.0,26.5,2.33,0
2024-08-11,ASS_BAR,Assam,Barpeta,154.4,5.0,30.7,3.77,0
2024-08-12,ASS_BAR,Assam,Barpeta,0.0,5.8,12.1,12.69,0
2024-08-13,ASS_BAR,Assam,Barpeta,164.3,5.14,28.5,13.61,0
2024-08-14,ASS_BAR,Assam,Barpeta,182.2,5.0,22.5,9.26,0
2024-08-15,ASS_BAR,Assam,Barpeta,180.7,5.0,37.2,12.14,0
2024-08-16,ASS_BAR,Assam,Barpeta,96.8,5.0,20.3,10.69,0
2024-08-17,ASS_BAR,Assam,Barpeta,72.4,5.0,11.4,3.41,0
2024-08-18,ASS_BAR,Assam,Barpeta,0.0,5.39,24.4,14.16,0
2024-08-19,ASS_BAR,Assam,Barpeta,68.1,5.0,25.2,10.4,0
2024-08-20,ASS_BAR,Assam,Barpeta,93.8,5.0,28.5,7.01,0
2024-08-21,ASS_BAR,Assam,Barpeta,188.8,5.0,13.7,8.86,0
2024-08-22,ASS_BAR,Assam,Barpeta,58.6,5.0,17.8,3.08,0
2024-08-23,ASS_BAR,Assam,Barpeta,108.3,5.0,25.3,9.16,0
2024-08-24,ASS_BAR,Assam,Barpeta,87.2,5.0,27.2,4.69,0
2024-08-25,ASS_BAR,Assam,Barpeta,112.5,5.0,43.4,1.15,0
2024-08-26,ASS_BAR,Assam,Barpeta,101.1,5.0,43.4,5.27,0
2024-08-27,ASS_BAR,Assam,Barpeta,58.2,5.0,27.0,14.56,0
2024-08-28,ASS_BAR,Assam,Barpeta,190.2,5.0,18.3,10.3,0
2024-08-29,ASS_BAR,Assam,Barpeta,124.0,5.0,36.9,5.92,0
2024-08-30,ASS_BAR,Assam,Barpeta,0.0,5.29,31.1,6.93,0
2024-08-31,ASS_BAR,Assam,Barpeta,167.0,5.0,12.3,11.29,0
2024-09-01,ASS_BAR,Assam,Barpeta,0.0,5.83,13.5,11.61,0
2024-09-02,ASS_BAR,Assam,Barpeta,101.3,5.08,28.0,2.66,0
2024-09-03,ASS_BAR,Assam,Barpeta,0.0,5.71,36.6,11.07,0
2024-09-04,ASS_BAR,Assam,Barpeta,98.7,5.16,14.1,2.14,0
2024-09-05,ASS_BAR,Assam,Barpeta,0.0,5.84,14.4,8.21,0
2024-09-06,ASS_BAR,Assam,Barpeta,0.0,6.19,41.0,5.19,0
2024-09-07,ASS_BAR,Assam,Barpeta,81.0,5.52,30.0,12.18,0
2024-09-08,ASS_BAR,Assam,Barpeta,0.0,5.78,23.5,11.44,0
2024-09-09,ASS_BAR,Assam,Barpeta,72.5,5.0,23.4,12.66,0
2024-09-10,ASS_BAR,Assam,Barpeta,119.1,5.0,34.4,9.41,0
2024-09-11,ASS_BAR,Assam,Barpeta,148.4,5.0,31.5,1.73,0
2024-09-12,ASS_BAR,Assam,Barpeta,169.2,5.0,10.7,4.28,0
2024-09-13,ASS_BAR,Assam,Barpeta,53.9,5.0,10.5,11.16,0
2024-09-14,ASS_BAR,Assam,Barpeta,0.0,5.27,26.9,12.1,0
2024-09-15,ASS_BAR,Assam,Barpeta,0.0,6.24,13.8,4.4,0
2024-09-16,ASS_BAR,Assam,Barpeta,0.0,7.0,43.3,10.8,0
2024-09-17,ASS_BAR,Assam,Barpeta,100.2,6.08,26.4,8.15,0
2024-09-18,ASS_BAR,Assam,Barpeta,0.0,6.5,25.7,7.67,0
2024-09-19,ASS_BAR,Assam,Barpeta,71.1,5.75,24.4,1.85,0
2024-09-20,ASS_BAR,Assam,Barpeta,0.0,6.49,17.5,1.91,0
2024-09-21,ASS_BAR,Assam,Barpeta,132.6,5.06,38.3,14.66,0
2024-09-22,ASS_BAR,Assam,Barpeta,72.9,5.0,40.0,6.85,0
2024-09-23,ASS_BAR,Assam,Barpeta,105.6,5.0,33.6,3.97,0
2024-09-24,ASS_BAR,Assam,Barpeta,144.1,5.0,37.9,6.02,0
2024-09-25,ASS_BAR,Assam,Barpeta,66.5,5.0,36.0,7.02,0
2024-09-26,ASS_BAR,Assam,Barpeta,0.0,5.66,16.8,1.75,0
2024-09-27,ASS_BAR,Assam,Barpeta,181.0,5.0,34.7,5.75,0
2024-09-28,ASS_BAR,Assam,Barpeta,0.0,5.98,13.0,14.09,0
2024-09-29,ASS_BAR,Assam,Barpeta,0.0,6.81,36.8,10.1,0
2024-09-30,ASS_BAR,Assam,Barpeta,130.5,5.74,10.8,13.28,0
2024-10-01,ASS_BAR,Assam,Barpeta,0.0,6.18,24.3,14.41,0
2024-10-02,ASS_BAR,Assam,Barpeta,117.5,5.62,21.8,11.77,0
2024-10-03,ASS_BAR,Assam,Barpeta,60.3,5.0,43.7,11.61,0
2024-10-04,ASS_BAR,Assam,Barpeta,0.0,5.66,25.3,7.27,0
2024-10-05,ASS_BAR,Assam,Barpeta,0.0,6.5,27.4,5.96,0
2024-10-06,ASS_BAR,Assam,Barpeta,89.8,5.56,10.8,1.85,0
2024-10-07,ASS_BAR,Assam,Barpeta,0.0,6.05,40.8,11.78,0
2024-10-08,ASS_BAR,Assam,Barpeta,0.0,6.55,39.0,4.93,0
2024-10-09,ASS_BAR,Assam,Barpeta,133.2,5.43,19.9,4.67,0
2024-10-10,ASS_BAR,Assam,Barpeta,56.0,5.0,22.0,11.12,0
2024-10-11,ASS_BAR,Assam,Barpeta,0.0,5.42,33.1,13.11,0
2024-10-12,ASS_BAR,Assam,Barpeta,184.9,5.0,27.0,6.89,0
2024-10-13,ASS_BAR,Assam,Barpeta,0.0,5.81,31.2,10.28,0
2024-10-14,ASS_BAR,Assam,Barpeta,108.4,5.0,18.2,3.05,0
2024-10-15,ASS_BAR,Assam,Barpeta,122.0,5.0,21.9,5.61,0
2024-10-16,ASS_BAR,Assam,Barpeta,0.0,5.38,10.5,14.11,0
2024-10-17,ASS_BAR,Assam,Barpeta,90.5,5.0,35.6,11.45,0
2024-10-18,ASS_BAR,Assam,Barpeta,159.0,5.0,12.9,1.24,0
2024-10-19,ASS_BAR,Assam,Barpeta,184.3,5.0,27.4,10.01,0
2024-10-20,ASS_BAR,Assam,Barpeta,100.9,5.0,13.2,8.66,0
2024-10-21,ASS_BAR,Assam,Barpeta,0.0,5.66,20.2,2.8,0
2024-10-22,ASS_BAR,Assam,Barpeta,0.0,5.87,13.1,8.4,0
2024-10-23,ASS_BAR,Assam,Barpeta,57.2,5.15,20.4,14.38,0
2024-10-24,ASS_BAR,Assam,Barpeta,126.7,5.0,32.4,13.09,0
2024-10-25,ASS_BAR,Assam,Barpeta,0.0,5.94,27.5,1.64,0
2024-10-26,ASS_BAR,Assam,Barpeta,192.0,5.15,32.7,2.95,0
2024-10-27,ASS_BAR,Assam,Barpeta,113.8,5.0,21.4,4.09,0
2024-10-28,ASS_BAR,Assam,Barpeta,185.7,5.0,39.7,13.67,0
2024-10-29,ASS_BAR,Assam,Barpeta,105.0,5.0,25.5,14.7,0
2024-10-30,ASS_BAR,Assam,Barpeta,196.4,5.0,21.6,3.28,0
2024-10-31,ASS_BAR,Assam,Barpeta,165.8,5.0,40.2,9.29,0
2024-11-01,ASS_BAR,Assam,Barpeta,0.0,5.21,29.3,8.87,0
2024-11-02,ASS_BAR,Assam,Barpeta,1.3,5.53,24.7,7.72,0
2024-11-03,ASS_BAR,Assam,Barpeta,8.7,6.2,32.6,13.74,0
2024-11-04,ASS_BAR,Assam,Barpeta,0.0,6.49,17.0,6.73,0
2024-11-05,ASS_BAR,Assam,Barpeta,9.3,7.26,13.1,8.8,0
2024-11-06,ASS_BAR,Assam,Barpeta,0.0,8.17,14.8,3.27,0
2024-11-07,ASS_BAR,Assam,Barpeta,0.9,8.97,32.9,3.27,0
2024-11-08,ASS_BAR,Assam,Barpeta,11.9,8.97,17.2,14.64,0
2024-11-09,ASS_BAR,Assam,Barpeta,12.9,8.97,30.3,8.41,0
2024-11-10,ASS_BAR,Assam,Barpeta,0.0,9.34,41.3,14.52,0
2024-11-11,ASS_BAR,Assam,Barpeta,12.2,9.34,21.2,6.85,0
2024-11-12,ASS_BAR,Assam,Barpeta,2.5,10.2,14.0,9.27,0
2024-11-13,ASS_BAR,Assam,Barpeta,4.5,10.93,21.6,8.66,0
2024-11-14,ASS_BAR,Assam,Barpeta,0.0,11.29,44.1,7.5,0
2024-11-15,ASS_BAR,Assam,Barpeta,0.0,11.65,22.1,2.46,0
2024-11-16,ASS_BAR,Assam,Barpeta,0.0,11.94,30.2,2.55,0
2024-11-17,ASS_BAR,Assam,Barpeta,0.3,12.46,16.3,5.09,0
2024-11-18,ASS_BAR,Assam,Barpeta,0.0,12.75,36.4,3.19,0
